##;ENG;FRA;ITA;SPA;GER;POL;;;;;X
PROV0;(Embarked);(Embarked);(Embarked);(Embarcado/s);(Embarked);(Embarked);;(транзит);;;x
PROV3762;Ulaangom;Ulaangom;Ulaangom;Ulaangom;Ulaangom;Ulaangom;;;;;X
PROV3763;Khovd;Khovd;Khovd;Khovd;Khovd;Khovd;;;;;X
PROV3764;Altai;Altai;Altai;Altai;Altai;Altai;;;;;X
PROV3765;Uliastai;Uliastai;Uliastai;Uliastai;Uliastai;Uliastai;;;;;X
PROV3766;Tsetserleg;Tsetserleg;Tsetserleg;Tsetserleg;Tsetserleg;Tsetserleg;;;;;X
PROV3767;Bulgan;Bulgan;Bulgan;Bulgan;Bulgan;Bulgan;;;;;X
PROV3768;Sьkhbaatar;Sьkhbaatar;Sьkhbaatar;Sьkhbaatar;Sьkhbaatar;Sьkhbaatar;;;;;X
PROV3769;Цndцrkhaan;Цndцrkhaan;Цndцrkhaan;Цndцrkhaan;Цndцrkhaan;Цndцrkhaan;;;;;X
PROV3770;Bayandelger;Bayandelger;Bayandelger;Bayandelger;Bayandelger;Bayandelger;;;;;X
PROV3771;Sainshand;Sainshand;Sainshand;Sainshand;Sainshand;Sainshand;;;;;X
PROV3772;Mandalgovi;Mandalgovi;Mandalgovi;Mandalgovi;Mandalgovi;Mandalgovi;;;;;X
PROV3773;Dalanzadgad;Dalanzadgad;Dalanzadgad;Dalanzadgad;Dalanzadgad;Dalanzadgad;;;;;X
PROV3774;Fuxian;Fuxian;Fuxian;Fuxian;Fuxian;Fuxian;;;;;X
PROV3775;Rуngcheng;Rуngcheng;Rуngcheng;Rуngcheng;Rуngcheng;Rуngcheng;;;;;X
PROV3776;Paysandu;Paysandu;Paysandu;Paysandu;Paysandu;Paysandu;;;;;X
PROV3777;Rivera;Rivera;Rivera;Rivera;Rivera;Rivera;;;;;X
PROV3778;Melo;Melo;Melo;Melo;Melo;Melo;;;;;X
PROV3779;Mercedes;Mercedes;Mercedes;Mercedes;Mercedes;Mercedes;;;;;X
PROV3780;Durazno;Durazno;Durazno;Durazno;Durazno;Durazno;;;;;X
PROV3781;Cuenca;Cuenca;Cuenca;Cuenca;Cuenca;Cuenca;;;;;X
PROV3782;Santo Domingo;Santo Domingo;Santo Domingo;Santo Domingo;Santo Domingo;Santo Domingo;;;;;X
PROV3783;Manta;Manta;Manta;Manta;Manta;Manta;;;;;X
PROV3784;Loja;Loja;Loja;Loja;Loja;Loja;;;;;X
PROV3785;Macas;Macas;Macas;Macas;Macas;Macas;;;;;X
PROV3786;Tena;Tena;Tena;Tena;Tena;Tena;;;;;X
PROV3787;Puerto Francisco de Orellana;Puerto Francisco de Orellana;Puerto Francisco de Orellana;Puerto Francisco de Orellana;Puerto Francisco de Orellana;Puerto Francisco de Orellana;;;;;X
PROV3788;Puerto Arica;Puerto Arica;Puerto Arica;Puerto Arica;Puerto Arica;Puerto Arica;;;;;X
PROV3789;La Chorrera;La Chorrera;La Chorrera;La Chorrera;La Chorrera;La Chorrera;;;;;X
PROV3790;Puerto Leguizamo;Puerto Leguizamo;Puerto Leguizamo;Puerto Leguizamo;Puerto Leguizamo;Puerto Leguizamo;;;;;X
PROV3791;Cartagena del Chaira;Cartagena del Chaira;Cartagena del Chaira;Cartagena del Chaira;Cartagena del Chaira;Cartagena del Chaira;;;;;X
PROV3792;Mitu;Mitu;Mitu;Mitu;Mitu;Mitu;;;;;X
PROV3793;Calamar;Calamar;Calamar;Calamar;Calamar;Calamar;;;;;X
PROV3794;La Uribe;La Uribe;La Uribe;La Uribe;La Uribe;La Uribe;;;;;X
PROV3795;Popayan;Popayan;Popayan;Popayan;Popayan;Popayan;;;;;X
PROV3796;Tumaco;Tumaco;Tumaco;Tumaco;Tumaco;Tumaco;;;;;X
PROV3797;Carabuja;Carabuja;Carabuja;Carabuja;Carabuja;Carabuja;;;;;X
PROV3798;Arauca;Arauca;Arauca;Arauca;Arauca;Arauca;;;;;X
PROV3799;Tunja;Tunja;Tunja;Tunja;Tunja;Tunja;;;;;X
PROV3800;Bucaramanga;Bucaramanga;Bucaramanga;Bucaramanga;Bucaramanga;Bucaramanga;;;;;X
PROV3801;Barrancabermeja;Barrancabermeja;Barrancabermeja;Barrancabermeja;Barrancabermeja;Barrancabermeja;;;;;X
PROV3802;Aguachica;Aguachica;Aguachica;Aguachica;Aguachica;Aguachica;;;;;X
PROV3803;Pereira;Pereira;Pereira;Pereira;Pereira;Pereira;;;;;X
PROV3804;Riohacha;Riohacha;Riohacha;Riohacha;Riohacha;Riohacha;;;;;X
PROV3805;Valledupar;Valledupar;Valledupar;Valledupar;Valledupar;Valledupar;;;;;X
PROV3806;Mompox;Mompox;Mompox;Mompox;Mompox;Mompox;;;;;X
PROV3807;Monteria;Monteria;Monteria;Monteria;Monteria;Monteria;;;;;X
PROV3808;Antioquia;Antioquia;Antioquia;Antioquia;Antioquia;Antioquia;;;;;X
PROV3809;Pedro Juan Caballero;Pedro Juan Caballero;Pedro Juan Caballero;Pedro Juan Caballero;Pedro Juan Caballero;Pedro Juan Caballero;;;;;X
PROV3810;Caaguazu;Caaguazu;Caaguazu;Caaguazu;Caaguazu;Caaguazu;;;;;X
PROV3811;Pilar;Pilar;Pilar;Pilar;Pilar;Pilar;;;;;X
PROV3812;Camacho;Camacho;Camacho;Camacho;Camacho;Camacho;;;;;X
PROV3813;Villa Ygatimi;Villa Ygatimi;Villa Ygatimi;Villa Ygatimi;Villa Ygatimi;Villa Ygatimi;;;;;X
PROV3814;Pozo Colorado;Pozo Colorado;Pozo Colorado;Pozo Colorado;Pozo Colorado;Pozo Colorado;;;;;X
PROV3815;Fuerte Olimpo;Fuerte Olimpo;Fuerte Olimpo;Fuerte Olimpo;Fuerte Olimpo;Fuerte Olimpo;;;;;X
PROV3816;Bahia Negra;Bahia Negra;Bahia Negra;Bahia Negra;Bahia Negra;Bahia Negra;;;;;X
PROV3817;Boquerуn ;Boquerуn ;Boquerуn ;Boquerуn ;Boquerуn ;Boquerуn ;;;;;X
PROV3818;Mayor Pablo Lagerenza;Mayor Pablo Lagerenza;Mayor Pablo Lagerenza;Mayor Pablo Lagerenza;Mayor Pablo Lagerenza;Mayor Pablo Lagerenza;;;;;X
PROV3819;Yrendague;Yrendague;Yrendague;Yrendague;Yrendague;Yrendague;;;;;X
PROV3820;Orбn ;Orбn ;Orбn ;Orбn ;Orбn ;Orбn ;;;;;X
PROV3821;Puerto Arturo;Puerto Arturo;Puerto Arturo;Puerto Arturo;Puerto Arturo;Puerto Arturo;;;;;X
PROV3822;Pantoja;Pantoja;Pantoja;Pantoja;Pantoja;Pantoja;;;;;X
PROV3823;Arabella;Arabella;Arabella;Arabella;Arabella;Arabella;;;;;X
PROV3824;Borja;Borja;Borja;Borja;Borja;Borja;;;;;X
PROV3825;Piura;Piura;Piura;Piura;Piura;Piura;;;;;X
PROV3826;Lagunas;Lagunas;Lagunas;Lagunas;Lagunas;Lagunas;;;;;X
PROV3827;Caballococha;Caballococha;Caballococha;Caballococha;Caballococha;Caballococha;;;;;X
PROV3828;Huбnuco;Huбnuco;Huбnuco;Huбnuco;Huбnuco;Huбnuco;;;;;X
PROV3829;Cajamarca;Cajamarca;Cajamarca;Cajamarca;Cajamarca;Cajamarca;;;;;X
PROV3830;Huaraz;Huaraz;Huaraz;Huaraz;Huaraz;Huaraz;;;;;X
PROV3831;Chimbote;Chimbote;Chimbote;Chimbote;Chimbote;Chimbote;;;;;X
PROV3832;Cerro de Pasco;Cerro de Pasco;Cerro de Pasco;Cerro de Pasco;Cerro de Pasco;Cerro de Pasco;;;;;X
PROV3833;Masisea;Masisea;Masisea;Masisea;Masisea;Masisea;;;;;X
PROV3834;Quillabamba;Quillabamba;Quillabamba;Quillabamba;Quillabamba;Quillabamba;;;;;X
PROV3835;Ayacucho;Ayacucho;Ayacucho;Ayacucho;Ayacucho;Ayacucho;;;;;X
PROV3836;Abancay;Abancay;Abancay;Abancay;Abancay;Abancay;;;;;X
PROV3837;Nazca;Nazca;Nazca;Nazca;Nazca;Nazca;;;;;X
PROV3838;Mollendo;Mollendo;Mollendo;Mollendo;Mollendo;Mollendo;;;;;X
PROV3839;Tacna;Tacna;Tacna;Tacna;Tacna;Tacna;;;;;X
PROV3840;Juliaca;Juliaca;Juliaca;Juliaca;Juliaca;Juliaca;;;;;X
PROV3841;Achacachi;Achacachi;Achacachi;Achacachi;Achacachi;Achacachi;;;;;X
PROV3842;Puerto Acosta;Puerto Acosta;Puerto Acosta;Puerto Acosta;Puerto Acosta;Puerto Acosta;;;;;X
PROV3843;Cochabamba;Cochabamba;Cochabamba;Cochabamba;Cochabamba;Cochabamba;;;;;X
PROV3844;Ixiamas;Ixiamas;Ixiamas;Ixiamas;Ixiamas;Ixiamas;;;;;X
PROV3845;Riberalta;Riberalta;Riberalta;Riberalta;Riberalta;Riberalta;;;;;X
PROV3846;Santa Ana del Yacuma;Santa Ana del Yacuma;Santa Ana del Yacuma;Santa Ana del Yacuma;Santa Ana del Yacuma;Santa Ana del Yacuma;;;;;X
PROV3847;San Joaquin;San Joaquin;San Joaquin;San Joaquin;San Joaquin;San Joaquin;;;;;X
PROV3848;San Ignacio de Velasco;San Ignacio de Velasco;San Ignacio de Velasco;San Ignacio de Velasco;San Ignacio de Velasco;San Ignacio de Velasco;;;;;X
PROV3849;Montero;Montero;Montero;Montero;Montero;Montero;;;;;X
PROV3850;Camiri;Camiri;Camiri;Camiri;Camiri;Camiri;;;;;X
PROV3851;Tupiza;Tupiza;Tupiza;Tupiza;Tupiza;Tupiza;;;;;X
PROV3852;San Josй de Chiquitos;San Josй de Chiquitos;San Josй de Chiquitos;San Josй de Chiquitos;San Josй de Chiquitos;San Josй de Chiquitos;;;;;X
PROV3853;Concepciуn;Concepciуn;Concepciуn;Concepciуn;Concepciуn;Concepciуn;;;;;X
PROV3854;Puerto Cazal;Puerto Cazal;Puerto Cazal;Puerto Cazal;Puerto Cazal;Puerto Cazal;;;;;X
PROV3855;Roborй;Roborй;Roborй;Roborй;Roborй;Roborй;;;;;X
PROV3856;Tarija;Tarija;Tarija;Tarija;Tarija;Tarija;;;;;X
PROV3857;Potosi;Potosi;Potosi;Potosi;Potosi;Potosi;;;;;X
PROV3858;Uyuni;Uyuni;Uyuni;Uyuni;Uyuni;Uyuni;;;;;X
PROV3859;Coro;Coro;Coro;Coro;Coro;Coro;;;;;X
PROV3860;Cabimas;Cabimas;Cabimas;Cabimas;Cabimas;Cabimas;;;;;X
PROV3861;Machiques;Machiques;Machiques;Machiques;Machiques;Machiques;;;;;X
PROV3862;San Cristуbal;San Cristуbal;San Cristуbal;San Cristуbal;San Cristуbal;San Cristуbal;;;;;X
PROV3863;Maracay;Maracay;Maracay;Maracay;Maracay;Maracay;;;;;X
PROV3864;Guanare;Guanare;Guanare;Guanare;Guanare;Guanare;;;;;X
PROV3865;San Fernando de Apure;San Fernando de Apure;San Fernando de Apure;San Fernando de Apure;San Fernando de Apure;San Fernando de Apure;;;;;X
PROV3866;Caicara del Orinoco;Caicara del Orinoco;Caicara del Orinoco;Caicara del Orinoco;Caicara del Orinoco;Caicara del Orinoco;;;;;X
PROV3867;San Juan de Los Morros;San Juan de Los Morros;San Juan de Los Morros;San Juan de Los Morros;San Juan de Los Morros;San Juan de Los Morros;;;;;X
PROV3868;Puerto La Cruz;Puerto La Cruz;Puerto La Cruz;Puerto La Cruz;Puerto La Cruz;Puerto La Cruz;;;;;X
PROV3869;Cumanб;Cumanб;Cumanб;Cumanб;Cumanб;Cumanб;;;;;X
PROV3870;El Tigre;El Tigre;El Tigre;El Tigre;El Tigre;El Tigre;;;;;X
PROV3871;San Fйlix;San Fйlix;San Fйlix;San Fйlix;San Fйlix;San Fйlix;;;;;X
PROV3872;Santa Elena de Uairйn;Santa Elena de Uairйn;Santa Elena de Uairйn;Santa Elena de Uairйn;Santa Elena de Uairйn;Santa Elena de Uairйn;;;;;X
PROV3873;La Esmeralda;La Esmeralda;La Esmeralda;La Esmeralda;La Esmeralda;La Esmeralda;;;;;X
PROV3874;San Carlos de Rio Negro;San Carlos de Rio Negro;San Carlos de Rio Negro;San Carlos de Rio Negro;San Carlos de Rio Negro;San Carlos de Rio Negro;;;;;X
PROV3875;San Fernando de Atabapo;San Fernando de Atabapo;San Fernando de Atabapo;San Fernando de Atabapo;San Fernando de Atabapo;San Fernando de Atabapo;;;;;X
PROV3876;Puerto Natales;Puerto Natales;Puerto Natales;Puerto Natales;Puerto Natales;Puerto Natales;;;;;X
PROV3877;Pueblo Nuevo;Pueblo Nuevo;Pueblo Nuevo;Pueblo Nuevo;Pueblo Nuevo;Pueblo Nuevo;;;;;X
PROV3878;Castro;Castro;Castro;Castro;Castro;Castro;;;;;X
PROV3879;Osorno;Osorno;Osorno;Osorno;Osorno;Osorno;;;;;X
PROV3880;Talca;Talca;Talca;Talca;Talca;Talca;;;;;X
PROV3881;Rancagua;Rancagua;Rancagua;Rancagua;Rancagua;Rancagua;;;;;X
PROV3882;Coquimbo;Coquimbo;Coquimbo;Coquimbo;Coquimbo;Coquimbo;;;;;X
PROV3883;La Serena;La Serena;La Serena;La Serena;La Serena;La Serena;;;;;X
PROV3884;Taltal;Taltal;Taltal;Taltal;Taltal;Taltal;;;;;X
PROV3885;Calama;Calama;Calama;Calama;Calama;Calama;;;;;X
PROV3886;Arica;Arica;Arica;Arica;Arica;Arica;;;;;X
PROV3887;Annai;Annai;Annai;Annai;Annai;Annai;;;;;X
PROV3888;Wismar;Wismar;Wismar;Wismar;Wismar;Wismar;;;;;X
PROV3889;Red Cliff;Red Cliff;Red Cliff;Red Cliff;Red Cliff;Red Cliff;;;;;X
PROV3890;Nieuw-Nickerie;Nieuw-Nickerie;Nieuw-Nickerie;Nieuw-Nickerie;Nieuw-Nickerie;Nieuw-Nickerie;;;;;X
PROV3891;Brokopondo;Brokopondo;Brokopondo;Brokopondo;Brokopondo;Brokopondo;;;;;X
PROV3892;Saint-Laurent-du-Maroni;Saint-Laurent-du-Maroni;Saint-Laurent-du-Maroni;Saint-Laurent-du-Maroni;Saint-Laurent-du-Maroni;Saint-Laurent-du-Maroni;;;;;X
PROV3893;Puerto Deseado;Puerto Deseado;Puerto Deseado;Puerto Deseado;Puerto Deseado;Puerto Deseado;;;;;X
PROV3894;Nacimiento ;Nacimiento ;Nacimiento ;Nacimiento ;Nacimiento ;Nacimiento ;;;;;X
PROV3895;Rio Mayo;Rio Mayo;Rio Mayo;Rio Mayo;Rio Mayo;Rio Mayo;;;;;X
PROV3896;Paso de Indios;Paso de Indios;Paso de Indios;Paso de Indios;Paso de Indios;Paso de Indios;;;;;X
PROV3897;Gaiman;Gaiman;Gaiman;Gaiman;Gaiman;Gaiman;;;;;X
PROV3898;San Antonio Oeste;San Antonio Oeste;San Antonio Oeste;San Antonio Oeste;San Antonio Oeste;San Antonio Oeste;;;;;X
PROV3899;Maquinchao;Maquinchao;Maquinchao;Maquinchao;Maquinchao;Maquinchao;;;;;X
PROV3900;Rio Colorado;Rio Colorado;Rio Colorado;Rio Colorado;Rio Colorado;Rio Colorado;;;;;X
PROV3901;General Roca;General Roca;General Roca;General Roca;General Roca;General Roca;;;;;X
PROV3902;Zapala;Zapala;Zapala;Zapala;Zapala;Zapala;;;;;X
PROV3903;San Martнn de los Andes;San Martнn de los Andes;San Martнn de los Andes;San Martнn de los Andes;San Martнn de los Andes;San Martнn de los Andes;;;;;X
PROV3904;Carmen de Patagones;Carmen de Patagones;Carmen de Patagones;Carmen de Patagones;Carmen de Patagones;Carmen de Patagones;;;;;X
PROV3905;Trenque Lauquen;Trenque Lauquen;Trenque Lauquen;Trenque Lauquen;Trenque Lauquen;Trenque Lauquen;;;;;X
PROV3906;Guamini;Guamini;Guamini;Guamini;Guamini;Guamini;;;;;X
PROV3907;Junin;Junin;Junin;Junin;Junin;Junin;;;;;X
PROV3908;San Carlos de Bolivar;San Carlos de Bolivar;San Carlos de Bolivar;San Carlos de Bolivar;San Carlos de Bolivar;San Carlos de Bolivar;;;;;X
PROV3909;Las Flores;Las Flores;Las Flores;Las Flores;Las Flores;Las Flores;;;;;X
PROV3910;Tandil;Tandil;Tandil;Tandil;Tandil;Tandil;;;;;X
PROV3911;Olavarria;Olavarria;Olavarria;Olavarria;Olavarria;Olavarria;;;;;X
PROV3912;Necochea;Necochea;Necochea;Necochea;Necochea;Necochea;;;;;X
PROV3913;Punta Alta;Punta Alta;Punta Alta;Punta Alta;Punta Alta;Punta Alta;;;;;X
PROV3914;25 de Mayo;25 de Mayo;25 de Mayo;25 de Mayo;25 de Mayo;25 de Mayo;;;;;X
PROV3915;Guatrachй;Guatrachй;Guatrachй;Guatrachй;Guatrachй;Guatrachй;;;;;X
PROV3916;General Acha;General Acha;General Acha;General Acha;General Acha;General Acha;;;;;X
PROV3917;Rivadavia;Rivadavia;Rivadavia;Rivadavia;Rivadavia;Rivadavia;;;;;X
PROV3918;San Rafael;San Rafael;San Rafael;San Rafael;San Rafael;San Rafael;;;;;X
PROV3919;Villa Nueva;Villa Nueva;Villa Nueva;Villa Nueva;Villa Nueva;Villa Nueva;;;;;X
PROV3920;Goya;Goya;Goya;Goya;Goya;Goya;;;;;X
PROV3921;Paso de los Libres;Paso de los Libres;Paso de los Libres;Paso de los Libres;Paso de los Libres;Paso de los Libres;;;;;X
PROV3922;Gualeguaychъ;Gualeguaychъ;Gualeguaychъ;Gualeguaychъ;Gualeguaychъ;Gualeguaychъ;;;;;X
PROV3923;Concordia;Concordia;Concordia;Concordia;Concordia;Concordia;;;;;X
PROV3924;Ingeniero Juбrez;Ingeniero Juбrez;Ingeniero Juбrez;Ingeniero Juбrez;Ingeniero Juбrez;Ingeniero Juбrez;;;;;X
PROV3925;Villa Бngela;Villa Бngela;Villa Бngela;Villa Бngela;Villa Бngela;Villa Бngela;;;;;X
PROV3926;Presidencia Roque Sбenz Pena;Presidencia Roque Sбenz Pena;Presidencia Roque Sбenz Pena;Presidencia Roque Sбenz Pena;Presidencia Roque Sбenz Pena;Presidencia Roque Sбenz Pena;;;;;X
PROV3927;Rafaela;Rafaela;Rafaela;Rafaela;Rafaela;Rafaela;;;;;X
PROV3928;Reconquista;Reconquista;Reconquista;Reconquista;Reconquista;Reconquista;;;;;X
PROV3929;Esperanza;Esperanza;Esperanza;Esperanza;Esperanza;Esperanza;;;;;X
PROV3930;Tartagal;Tartagal;Tartagal;Tartagal;Tartagal;Tartagal;;;;;X
PROV3931;San Ramуn de la Nueva Orбn;San Ramуn de la Nueva Orбn;San Ramуn de la Nueva Orбn;San Ramуn de la Nueva Orбn;San Ramуn de la Nueva Orбn;San Ramуn de la Nueva Orбn;;;;;X
PROV3932;Metбn;Metбn;Metбn;Metбn;Metбn;Metбn;;;;;X
PROV3933;Joaquin Victor Gonzalez;Joaquin Victor Gonzalez;Joaquin Victor Gonzalez;Joaquin Victor Gonzalez;Joaquin Victor Gonzalez;Joaquin Victor Gonzalez;;;;;X
PROV3934;La Quiaca;La Quiaca;La Quiaca;La Quiaca;La Quiaca;La Quiaca;;;;;X
PROV3935;Cosquin;Cosquin;Cosquin;Cosquin;Cosquin;Cosquin;;;;;X
PROV3936;Santa Rosa de Rio Primero;Santa Rosa de Rio Primero;Santa Rosa de Rio Primero;Santa Rosa de Rio Primero;Santa Rosa de Rio Primero;Santa Rosa de Rio Primero;;;;;X
PROV3937;Villa Maria;Villa Maria;Villa Maria;Villa Maria;Villa Maria;Villa Maria;;;;;X
PROV3938;Laboulaye;Laboulaye;Laboulaye;Laboulaye;Laboulaye;Laboulaye;;;;;X
PROV3939;Chepes;Chepes;Chepes;Chepes;Chepes;Chepes;;;;;X
PROV3940;Chilecito;Chilecito;Chilecito;Chilecito;Chilecito;Chilecito;;;;;X
PROV3941;La Banda;La Banda;La Banda;La Banda;La Banda;La Banda;;;;;X
PROV3942;Monte Quemado;Monte Quemado;Monte Quemado;Monte Quemado;Monte Quemado;Monte Quemado;;;;;X
PROV3943;Anatuya;Anatuya;Anatuya;Anatuya;Anatuya;Anatuya;;;;;X
PROV3944;Villa Atamisqui;Villa Atamisqui;Villa Atamisqui;Villa Atamisqui;Villa Atamisqui;Villa Atamisqui;;;;;X
PROV3945;Andalgalб;Andalgalб;Andalgalб;Andalgalб;Andalgalб;Andalgalб;;;;;X
PROV3946;Tinogasta;Tinogasta;Tinogasta;Tinogasta;Tinogasta;Tinogasta;;;;;X
PROV3947;Villa Aberastain;Villa Aberastain;Villa Aberastain;Villa Aberastain;Villa Aberastain;Villa Aberastain;;;;;X
PROV3948;San Josй de Jбchal;San Josй de Jбchal;San Josй de Jбchal;San Josй de Jбchal;San Josй de Jбchal;San Josй de Jбchal;;;;;X
PROV3949;Villa Mercedes;Villa Mercedes;Villa Mercedes;Villa Mercedes;Villa Mercedes;Villa Mercedes;;;;;X
PROV3950;Maracachita;Maracachita;Maracachita;Maracachita;Maracachita;Maracachita;;;;;X
PROV3951;Sororoca;Sororoca;Sororoca;Sororoca;Sororoca;Sororoca;;;;;X
PROV3952;Parintins;Parintins;Parintins;Parintins;Parintins;Parintins;;;;;X
PROV3953;Itacoatiara;Itacoatiara;Itacoatiara;Itacoatiara;Itacoatiara;Itacoatiara;;;;;X
PROV3954;Tabatinga;Tabatinga;Tabatinga;Tabatinga;Tabatinga;Tabatinga;;;;;X
PROV3955;Manicorй;Manicorй;Manicorй;Manicorй;Manicorй;Manicorй;;;;;X
PROV3956;Humaitб;Humaitб;Humaitб;Humaitб;Humaitб;Humaitб;;;;;X
PROV3957;Sao Gabriel da Cachoeira;Sao Gabriel da Cachoeira;Sao Gabriel da Cachoeira;Sao Gabriel da Cachoeira;Sao Gabriel da Cachoeira;Sao Gabriel da Cachoeira;;;;;X
PROV3958;Benjamin Constant;Benjamin Constant;Benjamin Constant;Benjamin Constant;Benjamin Constant;Benjamin Constant;;;;;X
PROV3959;Careiro;Careiro;Careiro;Careiro;Careiro;Careiro;;;;;X
PROV3960;Sao Paulo de Olivenзa;Sao Paulo de Olivenзa;Sao Paulo de Olivenзa;Sao Paulo de Olivenзa;Sao Paulo de Olivenзa;Sao Paulo de Olivenзa;;;;;X
PROV3961;Envira;Envira;Envira;Envira;Envira;Envira;;;;;X
PROV3962;Canutama;Canutama;Canutama;Canutama;Canutama;Canutama;;;;;X
PROV3963;Santa Isabel do Rio Negro;Santa Isabel do Rio Negro;Santa Isabel do Rio Negro;Santa Isabel do Rio Negro;Santa Isabel do Rio Negro;Santa Isabel do Rio Negro;;;;;X
PROV3964;Maraa;Maraa;Maraa;Maraa;Maraa;Maraa;;;;;X
PROV3965;Tonantins;Tonantins;Tonantins;Tonantins;Tonantins;Tonantins;;;;;X
PROV3966;Palheta;Palheta;Palheta;Palheta;Palheta;Palheta;;;;;X
PROV3967;Cruzeiro do Sul;Cruzeiro do Sul;Cruzeiro do Sul;Cruzeiro do Sul;Cruzeiro do Sul;Cruzeiro do Sul;;;;;X
PROV3968;Conceiзao do Araguaia;Conceiзao do Araguaia;Conceiзao do Araguaia;Conceiзao do Araguaia;Conceiзao do Araguaia;Conceiзao do Araguaia;;;;;X
PROV3969;Itaituba;Itaituba;Itaituba;Itaituba;Itaituba;Itaituba;;;;;X
PROV3970;Altamira;Altamira;Altamira;Altamira;Altamira;Altamira;;;;;X
PROV3971;Fordlвndia;Fordlвndia;Fordlвndia;Fordlвndia;Fordlвndia;Fordlвndia;;;;;X
PROV3972;Monte Alegre;Monte Alegre;Monte Alegre;Monte Alegre;Monte Alegre;Monte Alegre;;;;;X
PROV3973;Oriximinб;Oriximinб;Oriximinб;Oriximinб;Oriximinб;Oriximinб;;;;;X
PROV3974;Almeirim;Almeirim;Almeirim;Almeirim;Almeirim;Almeirim;;;;;X
PROV3975;Baiao;Baiao;Baiao;Baiao;Baiao;Baiao;;;;;X
PROV3976;Cametб;Cametб;Cametб;Cametб;Cametб;Cametб;;;;;X
PROV3977;Breves;Breves;Breves;Breves;Breves;Breves;;;;;X
PROV3978;Castanhal;Castanhal;Castanhal;Castanhal;Castanhal;Castanhal;;;;;X
PROV3979;Amapб;Amapб;Amapб;Amapб;Amapб;Amapб;;;;;X
PROV3980;Santana;Santana;Santana;Santana;Santana;Santana;;;;;X
PROV3981;Ponta Pora;Ponta Pora;Ponta Pora;Ponta Pora;Ponta Pora;Ponta Pora;;;;;X
PROV3982;Bela Vista;Bela Vista;Bela Vista;Bela Vista;Bela Vista;Bela Vista;;;;;X
PROV3983;Corumbб;Corumbб;Corumbб;Corumbб;Corumbб;Corumbб;;;;;X
PROV3984;Tres Lagoas;Tres Lagoas;Tres Lagoas;Tres Lagoas;Tres Lagoas;Tres Lagoas;;;;;X
PROV3985;Aquidauana;Aquidauana;Aquidauana;Aquidauana;Aquidauana;Aquidauana;;;;;X
PROV3986;Paranaiba;Paranaiba;Paranaiba;Paranaiba;Paranaiba;Paranaiba;;;;;X
PROV3987;Maracaju;Maracaju;Maracaju;Maracaju;Maracaju;Maracaju;;;;;X
PROV3988;Coxim;Coxim;Coxim;Coxim;Coxim;Coxim;;;;;X
PROV3989;Cбceres;Cбceres;Cбceres;Cбceres;Cбceres;Cбceres;;;;;X
PROV3990;Barra do Garзas;Barra do Garзas;Barra do Garзas;Barra do Garзas;Barra do Garзas;Barra do Garзas;;;;;X
PROV3991;Araguaiana;Araguaiana;Araguaiana;Araguaiana;Araguaiana;Araguaiana;;;;;X
PROV3992;Vila Bela da Santнssima Trindade;Vila Bela da Santнssima Trindade;Vila Bela da Santнssima Trindade;Vila Bela da Santнssima Trindade;Vila Bela da Santнssima Trindade;Vila Bela da Santнssima Trindade;;;;;X
PROV3993;Comodoro;Comodoro;Comodoro;Comodoro;Comodoro;Comodoro;;;;;X
PROV3994;Diamantino;Diamantino;Diamantino;Diamantino;Diamantino;Diamantino;;;;;X
PROV3995;Paranatinga;Paranatinga;Paranatinga;Paranatinga;Paranatinga;Paranatinga;;;;;X
PROV3996;Vilhena;Vilhena;Vilhena;Vilhena;Vilhena;Vilhena;;;;;X
PROV3997;Ji-Paranб;Ji-Paranб;Ji-Paranб;Ji-Paranб;Ji-Paranб;Ji-Paranб;;;;;X
PROV3998;Guajarб-Mirim;Guajarб-Mirim;Guajarб-Mirim;Guajarб-Mirim;Guajarб-Mirim;Guajarб-Mirim;;;;;X
PROV3999;Porto Seguro;Porto Seguro;Porto Seguro;Porto Seguro;Porto Seguro;Porto Seguro;;;;;X
PROV4000;Jequiй;Jequiй;Jequiй;Jequiй;Jequiй;Jequiй;;;;;X
PROV4001;Guanambi;Guanambi;Guanambi;Guanambi;Guanambi;Guanambi;;;;;X
PROV4002;Brumado;Brumado;Brumado;Brumado;Brumado;Brumado;;;;;X
PROV4003;Bom Jesus da Lapa;Bom Jesus da Lapa;Bom Jesus da Lapa;Bom Jesus da Lapa;Bom Jesus da Lapa;Bom Jesus da Lapa;;;;;X
PROV4004;Itaberaba;Itaberaba;Itaberaba;Itaberaba;Itaberaba;Itaberaba;;;;;X
PROV4005;Jacobina;Jacobina;Jacobina;Jacobina;Jacobina;Jacobina;;;;;X
PROV4006;Alagoinhas;Alagoinhas;Alagoinhas;Alagoinhas;Alagoinhas;Alagoinhas;;;;;X
PROV4007;Euclides da Cunha;Euclides da Cunha;Euclides da Cunha;Euclides da Cunha;Euclides da Cunha;Euclides da Cunha;;;;;X
PROV4008;Juazeiro;Juazeiro;Juazeiro;Juazeiro;Juazeiro;Juazeiro;;;;;X
PROV4009;Senhor do Bonfim;Senhor do Bonfim;Senhor do Bonfim;Senhor do Bonfim;Senhor do Bonfim;Senhor do Bonfim;;;;;X
PROV4010;Casa Nova;Casa Nova;Casa Nova;Casa Nova;Casa Nova;Casa Nova;;;;;X
